Frame,Visibility,X,Y
0,1,1128,274
1,1,1122,274
2,1,1112,272
3,1,1115,273
4,1,1112,275
5,1,1109,278
6,1,1105,277
7,1,1102,286
8,1,1095,291
9,1,1082,297
10,1,1071,305
11,1,1049,313
12,1,1029,320
13,1,1007,334
14,1,978,346
15,1,951,359
16,1,922,373
17,1,896,385
18,1,899,359
19,1,913,331
20,1,927,287
21,1,927,259
22,1,932,225
23,1,929,199
24,1,930,175
25,1,925,143
26,1,925,124
27,1,927,106
28,1,924,81
29,1,923,59
30,1,918,42
31,1,923,26
32,1,915,8
33,1,920,4
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,1,877,6
53,1,880,16
54,1,873,31
55,1,872,54
56,1,868,76
57,1,867,94
58,1,862,116
59,1,862,141
60,1,862,165
61,1,854,199
62,1,854,225
63,1,852,255
64,1,848,289
65,1,847,322
66,1,846,355
67,1,845,389
68,1,845,428
69,1,841,461
70,1,841,496
71,1,836,507
72,1,842,466
73,1,850,431
74,1,856,395
75,1,867,360
76,1,872,322
77,1,878,292
78,1,885,265
79,1,897,239
80,1,903,211
81,1,908,185
82,1,912,173
83,1,914,152
84,1,913,129
85,1,920,120
86,1,924,106
87,1,927,95
88,1,928,85
89,1,927,77
90,1,928,67
91,1,928,60
92,1,928,52
93,1,920,55
94,1,915,53
95,1,912,55
96,1,901,61
97,1,892,65
98,1,884,63
99,1,876,73
100,1,868,80
101,1,855,90
102,1,843,97
103,1,833,109
104,1,820,125
105,1,806,134
106,1,797,151
107,1,785,169
108,1,775,185
109,1,761,205
110,1,746,225
111,1,736,243
112,1,722,261
113,1,707,289
114,1,716,314
115,1,770,334
116,1,791,329
117,1,775,335
118,1,754,334
119,1,736,329
120,1,722,333
121,1,705,334
122,1,693,327
123,1,680,333
124,1,668,338
125,1,660,351
126,1,656,350
127,1,668,358
128,1,685,368
129,1,697,382
130,1,713,391
131,1,728,404
132,1,748,414
133,1,769,424
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,1,866,439
141,1,875,428
142,1,881,410
143,1,887,393
144,1,890,378
145,1,892,370
146,1,899,356
147,1,900,347
148,1,903,336
149,1,914,330
