Frame,Visibility,X,Y
0,1,835,238
1,1,846,213
2,1,858,197
3,1,866,176
4,1,876,158
5,1,883,144
6,1,893,132
7,1,899,120
8,1,903,110
9,1,910,97
10,1,917,88
11,1,917,83
12,1,923,78
13,1,926,78
14,1,931,78
15,1,933,77
16,1,937,81
17,1,939,86
18,1,945,95
19,1,949,100
20,1,953,111
21,1,956,122
22,1,961,136
23,1,964,151
24,1,971,168
25,1,976,184
26,1,979,200
27,1,981,224
28,1,991,241
29,1,991,266
30,1,997,290
31,1,1003,317
32,1,1009,344
33,1,1015,375
34,1,1023,406
35,1,1030,429
36,1,1033,463
37,1,1033,463
38,1,1027,428
39,1,1010,390
40,1,993,354
41,1,982,320
42,1,965,286
43,1,957,258
44,1,939,228
45,1,929,203
46,1,915,176
47,1,906,158
48,1,893,138
49,1,880,117
50,1,867,102
51,1,857,89
52,1,845,74
53,1,832,64
54,1,823,55
55,1,811,47
56,1,798,42
57,1,791,34
58,1,782,36
59,1,767,32
60,1,759,34
61,1,750,37
62,1,740,39
63,1,731,44
64,1,723,52
65,1,714,60
66,1,699,71
67,1,691,82
68,1,681,98
69,1,670,112
70,1,659,126
71,1,645,150
72,1,628,170
73,1,617,186
74,1,600,214
75,1,585,234
76,1,566,257
77,1,546,281
78,1,599,280
79,1,661,282
80,1,725,275
81,1,777,281
82,1,829,282
83,1,885,288
84,1,931,295
85,1,971,302
86,1,1019,310
87,1,1059,322
88,1,1095,338
89,1,1125,348
90,1,1151,358
91,1,1179,375
92,1,1199,395
93,1,1217,410
94,1,1231,422
95,1,1206,374
96,1,1179,324
97,1,1165,274
98,1,1154,231
99,1,1153,186
100,1,1154,141
101,1,1160,98
102,1,1161,55
103,1,1167,16
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
