Frame,Visibility,X,Y
0,1,1012,24
1,1,1014,182
2,1,1014,340
3,1,1103,270
4,1,1205,185
5,1,1269,98
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,1,1271,335
17,1,1262,333
18,1,1251,332
19,1,1237,329
20,1,1224,326
21,1,1209,326
22,1,1197,325
23,1,1184,324
24,1,1173,331
25,1,1162,329
26,1,1144,333
27,1,1135,339
28,1,1120,343
29,1,1104,352
30,1,1092,355
31,1,1065,361
32,1,1055,372
33,1,1028,386
34,1,1005,399
35,1,978,408
36,1,948,420
37,1,914,436
38,1,867,461
39,1,827,482
40,1,788,506
41,1,746,536
42,1,691,562
43,1,635,595
44,1,582,629
45,1,575,601
46,1,577,557
47,1,592,498
48,1,608,454
49,1,614,404
50,1,618,379
51,1,627,339
52,1,628,308
53,1,626,257
54,1,634,224
55,1,634,194
56,1,637,167
57,1,642,133
58,1,642,115
59,1,648,83
60,1,648,63
61,1,653,39
62,1,655,23
63,1,657,7
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,1,695,0
80,1,697,3
81,1,701,14
82,1,702,31
83,1,703,52
84,1,707,72
85,1,706,93
86,1,710,119
87,1,712,136
88,1,715,161
89,1,719,187
90,1,719,221
91,1,726,245
92,1,727,274
93,1,730,308
94,1,732,337
95,1,730,365
96,1,734,407
97,1,738,445
98,1,745,446
99,1,746,402
100,1,752,353
101,1,758,307
102,1,764,270
103,1,771,237
104,1,775,204
105,1,777,173
106,1,779,136
107,1,785,109
108,1,786,82
109,1,786,55
110,1,789,34
111,1,787,11
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,1,599,3
139,1,592,26
140,1,589,47
141,1,573,71
142,1,568,92
143,1,562,119
144,1,549,149
145,1,542,173
146,1,538,204
147,1,528,232
148,1,521,264
149,1,513,298
150,1,527,315
151,1,586,314
152,1,636,320
153,1,689,325
154,1,741,334
155,1,799,345
156,1,858,354
157,1,915,372
158,1,966,385
159,1,1030,402
160,1,1074,431
161,1,1123,454
162,1,1176,480
163,1,1226,505
164,1,1272,537
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,1,1271,217
180,1,1253,182
181,1,1243,146
182,1,1227,102
183,1,1213,72
184,1,1205,32
185,1,1194,14
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,1,1074,6
218,1,1075,27
219,1,1071,62
220,1,1069,90
221,1,1067,123
222,1,1061,154
223,1,1059,187
224,1,1059,221
225,1,1057,257
226,1,1059,289
227,1,1052,334
228,1,1053,374
229,1,1050,410
230,1,1054,406
231,1,1059,369
232,1,1054,340
233,1,1055,312
234,1,1056,295
235,1,1058,271
236,1,1052,241
237,1,1059,218
238,1,1058,197
239,1,1056,181
240,1,1062,168
241,1,1058,153
242,1,1061,138
243,1,1062,126
244,1,1060,118
245,1,1062,109
246,1,1063,100
247,1,1066,95
248,1,1063,92
249,1,1069,86
250,1,1068,89
251,1,1072,90
252,1,1076,94
253,1,1080,98
254,1,1084,103
255,1,1088,116
256,1,1098,126
257,1,1104,133
258,1,1113,150
259,1,1123,167
260,1,1136,188
261,1,1152,203
262,1,1162,224
263,1,1183,250
264,1,1201,284
265,1,1220,303
266,1,1239,318
267,1,1162,313
268,1,1089,303
269,1,1043,299
270,1,982,294
271,1,932,293
272,1,884,296
273,1,860,299
274,1,831,301
275,1,802,313
276,1,784,322
277,1,773,333
278,1,759,346
279,1,756,358
280,1,746,372
281,1,742,394
282,1,736,412
283,1,720,430
284,1,752,414
285,1,786,377
286,1,836,340
287,1,863,309
288,1,905,262
289,1,927,236
290,1,956,209
291,1,968,180
292,1,982,152
293,1,990,122
294,1,995,92
295,1,991,65
296,1,993,51
297,1,993,28
298,1,996,11
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,0
322,0,0,0
323,0,0,0
324,0,0,0
325,0,0,0
326,1,998,9
327,1,1009,24
328,1,1011,53
329,1,1014,73
330,1,1015,104
331,1,1021,132
332,1,1023,156
333,1,1021,194
334,1,1029,224
335,1,1026,265
336,1,1030,286
337,1,1031,335
338,1,1030,371
339,1,1027,405
340,1,1025,438
