Frame,Visibility,X,Y
0,1,892,416
1,1,852,441
2,1,810,466
3,1,766,488
4,1,706,518
5,1,674,541
6,1,708,489
7,1,734,444
8,1,759,396
9,1,780,355
10,1,796,315
11,1,812,275
12,1,826,238
13,1,837,202
14,1,849,170
15,1,865,131
16,1,877,102
17,1,886,77
18,1,901,49
19,1,909,17
20,1,918,7
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1,995,8
43,1,999,30
44,1,1003,48
45,1,1009,75
46,1,1014,101
47,1,1016,129
48,1,1021,160
49,1,1025,194
50,1,1036,235
51,1,1040,267
52,1,1046,305
53,1,1056,350
54,1,1059,388
55,1,1062,428
56,1,1057,417
57,1,1060,395
58,1,1058,379
59,1,1058,365
60,1,1057,352
61,1,1057,342
62,1,1060,336
63,1,1059,325
64,1,1061,326
65,1,1062,324
66,1,1063,327
67,1,1062,327
68,1,1058,333
69,1,1056,338
70,1,1071,349
71,1,1135,377
72,1,1193,406
73,1,1238,433
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,1,1275,665
83,1,1195,657
84,1,1124,651
85,1,1058,657
86,1,992,664
87,1,932,660
88,1,879,666
89,1,830,677
