Frame,Visibility,X,Y
0,1,939,387
1,1,917,417
2,1,891,439
3,1,870,472
4,1,839,503
5,1,799,541
6,1,767,578
7,1,719,620
8,1,675,658
9,1,656,668
10,1,680,621
11,1,697,588
12,1,712,549
13,1,727,516
14,1,743,483
15,1,760,451
16,1,779,422
17,1,795,402
18,1,806,378
19,1,822,355
20,1,833,336
21,1,850,324
22,1,863,310
23,1,875,293
24,1,891,283
25,1,901,274
26,1,913,263
27,1,920,257
28,1,930,251
29,1,935,246
30,1,944,246
31,1,942,245
32,1,947,246
33,1,955,252
34,1,958,254
35,1,960,257
36,1,964,266
37,1,967,274
38,1,967,287
39,1,971,299
40,1,973,307
41,1,974,321
42,1,975,339
43,1,978,357
44,1,981,373
45,1,985,388
46,1,987,406
47,1,989,427
48,1,981,404
49,1,980,376
50,1,973,349
51,1,968,321
52,1,966,298
53,1,962,275
54,1,959,252
55,1,955,234
56,1,953,219
57,1,954,204
58,1,953,194
59,1,950,180
60,1,948,173
61,1,943,168
62,1,943,161
63,1,938,156
64,1,937,152
65,1,934,152
66,1,932,153
67,1,932,154
68,1,929,156
69,1,927,161
70,1,925,169
71,1,921,176
72,1,916,184
73,1,913,193
74,1,906,204
75,1,902,214
76,1,896,228
77,1,892,243
78,1,884,258
79,1,877,276
80,1,869,288
81,1,862,309
82,1,858,325
83,1,845,349
84,1,841,361
85,1,843,357
86,1,842,357
87,1,830,357
88,1,812,354
89,1,799,352
90,1,789,354
91,1,778,357
92,1,765,359
93,1,759,362
94,1,752,370
95,1,747,376
96,1,744,383
97,1,742,393
98,1,740,404
99,1,741,416
100,1,741,430
101,1,745,441
102,1,745,460
103,1,750,470
104,1,756,469
105,1,764,471
106,1,769,473
107,1,773,473
108,1,778,477
109,1,786,477
110,1,787,480
111,1,791,484
112,1,795,486
113,1,802,486
114,1,807,489
115,1,811,493
116,1,816,497
117,1,818,501
118,1,822,503
119,1,825,503
