Frame,Visibility,X,Y
0,1,1213,313
1,1,1174,311
2,1,1136,306
3,1,1109,304
4,1,1084,308
5,1,1058,306
6,1,1034,310
7,1,1019,307
8,1,995,312
9,1,974,312
10,1,962,316
11,1,941,327
12,1,923,329
13,1,906,334
14,1,889,345
15,1,867,357
16,1,850,366
17,1,827,379
18,1,805,395
19,1,785,406
20,1,763,422
21,1,745,435
22,1,709,457
23,1,682,473
24,1,651,490
25,1,615,512
26,1,605,503
27,1,622,465
28,1,638,426
29,1,646,404
30,1,651,373
31,1,656,336
32,1,662,314
33,1,666,277
34,1,671,259
35,1,677,236
36,1,683,210
37,1,685,192
38,1,691,176
39,1,699,153
40,1,706,134
41,1,708,116
42,1,718,99
43,1,725,89
44,1,731,73
45,1,735,65
46,1,741,59
47,1,748,50
48,1,754,49
49,1,762,45
50,1,769,41
51,1,769,29
52,1,780,37
53,1,788,41
54,1,789,32
55,1,791,42
56,1,796,48
57,1,800,57
58,1,802,63
59,1,806,77
60,1,809,86
61,1,814,99
62,1,819,116
63,1,818,139
64,1,818,156
65,1,821,172
66,1,827,192
67,1,831,218
68,1,836,243
69,1,839,264
70,1,839,288
71,1,843,318
72,1,846,351
73,1,844,384
74,1,853,415
75,1,854,446
76,1,853,462
77,1,860,442
78,1,861,399
79,1,859,370
80,1,865,331
81,1,870,293
82,1,876,265
83,1,874,243
84,1,872,208
85,1,874,185
86,1,874,155
87,1,874,136
88,1,874,120
89,1,873,99
90,1,879,81
91,1,878,65
92,1,878,57
93,1,877,37
94,1,874,30
95,1,879,21
96,1,878,17
97,1,875,10
98,1,876,10
99,1,876,10
100,1,876,10
101,1,876,10
102,1,877,13
103,1,872,21
104,1,875,28
105,1,873,32
106,1,872,44
107,1,873,52
108,1,870,67
109,1,864,80
110,1,861,93
111,1,856,109
112,1,852,127
113,1,847,147
114,1,837,164
115,1,831,185
116,1,824,209
117,1,813,229
118,1,803,247
119,1,791,273
120,1,802,286
121,1,840,287
122,1,879,287
123,1,911,283
124,1,951,284
125,1,994,290
126,1,1032,295
127,1,1067,304
128,1,1112,311
129,1,1150,316
130,1,1191,328
131,1,1227,339
132,1,1262,377
