Frame,Visibility,X,Y
0,1,255,456
1,1,255,453
2,1,258,454
3,1,253,460
4,1,253,460
5,1,255,469
6,1,253,474
7,1,253,477
8,1,253,487
9,1,255,496
10,1,283,486
11,1,328,472
12,1,372,463
13,1,418,450
14,1,462,445
15,1,502,435
16,1,555,427
17,1,589,420
18,1,631,420
19,1,673,415
20,1,709,409
21,1,751,406
22,1,786,405
23,1,820,406
24,1,846,406
25,1,877,405
26,1,910,406
27,1,939,408
28,1,963,412
29,1,988,414
30,1,1011,421
31,1,1035,426
32,1,1054,429
33,1,1077,436
34,1,1086,439
35,1,1107,444
36,1,1119,453
37,1,1138,459
38,1,1149,463
39,1,1162,472
40,1,1171,477
41,1,1186,489
42,1,1201,501
43,1,1198,489
44,1,1185,462
45,1,1168,435
46,1,1155,414
47,1,1141,391
48,1,1129,375
49,1,1114,351
50,1,1107,331
51,1,1099,313
52,1,1090,294
53,1,1083,279
54,1,1074,258
55,1,1069,240
56,1,1066,231
57,1,1059,214
58,1,1054,199
59,1,1050,189
60,1,1044,175
61,1,1041,169
62,1,1032,153
63,1,1029,147
64,1,1023,138
65,1,1017,135
66,1,1012,126
67,1,1006,121
68,1,1003,117
69,1,996,114
70,1,990,111
71,1,985,111
72,1,981,112
73,1,978,109
74,1,972,112
75,1,966,114
76,1,966,118
77,1,960,123
78,1,955,126
79,1,952,133
80,1,951,138
81,1,949,147
82,1,946,156
83,1,942,165
84,1,937,174
85,1,939,183
86,1,934,199
87,1,936,213
88,1,931,222
89,1,931,243
90,1,927,253
91,1,927,268
92,1,924,285
93,1,924,301
94,1,921,318
95,1,919,333
96,1,919,348
97,1,924,354
98,1,925,339
99,1,924,322
100,1,927,298
101,1,925,283
102,1,928,268
103,1,931,250
104,1,931,234
105,1,937,213
106,1,939,204
107,1,945,193
108,1,943,178
109,1,951,175
110,1,957,157
111,1,961,151
112,1,969,144
113,1,976,135
114,1,984,127
115,1,991,120
116,1,997,115
117,1,1006,111
118,1,1014,112
119,1,1024,111
120,1,1029,109
121,1,1039,112
122,1,1045,112
123,1,1053,118
124,1,1057,120
125,1,1063,120
126,1,1068,130
127,1,1074,138
128,1,1074,147
129,1,1077,150
130,1,1078,165
131,1,1077,172
132,1,1080,186
133,1,1083,198
134,1,1078,213
135,1,1081,228
136,1,1077,237
137,1,1077,261
138,1,1071,274
139,1,1069,292
140,1,1065,307
141,1,1051,319
142,1,1023,309
143,1,985,306
144,1,973,306
145,1,973,291
146,1,972,291
147,1,975,286
148,1,978,282
149,1,981,283
150,1,984,279
151,1,984,280
152,1,990,280
153,1,993,282
154,1,1000,286
155,1,1000,286
156,1,1009,291
157,1,1011,292
158,1,1014,300
159,1,1018,307
160,1,1017,316
161,1,1015,324
162,1,1014,336
163,1,1011,345
164,1,1008,352
165,1,1005,364
166,1,1005,379
167,1,997,378
168,1,990,363
169,1,978,340
170,1,967,325
171,1,955,307
172,1,949,292
173,1,934,277
174,1,924,262
175,1,912,249
176,1,901,240
177,1,891,226
178,1,879,210
179,1,868,199
180,1,859,193
181,1,847,184
182,1,834,181
183,1,820,171
184,1,811,172
185,1,804,165
186,1,789,162
187,1,786,160
188,1,777,160
189,1,766,157
190,1,759,159
191,1,756,165
192,1,748,165
193,1,745,171
194,1,738,177
195,1,733,180
196,1,730,189
197,1,726,195
198,1,724,205
199,1,718,214
200,1,712,226
201,1,709,235
202,1,703,250
203,1,696,267
204,1,687,282
205,1,679,298
206,1,667,318
207,1,661,331
208,1,651,351
209,1,643,370
210,1,634,387
211,1,640,384
212,1,648,349
213,1,658,324
214,1,672,300
215,1,684,268
216,1,696,240
217,1,709,216
218,1,717,193
219,1,733,174
220,1,744,151
221,1,759,126
222,1,766,112
223,1,778,93
224,1,789,78
225,1,799,61
226,1,805,46
227,1,813,37
228,1,822,22
229,1,828,13
230,1,837,3
231,1,840,1
232,1,847,1
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,1,849,3
239,1,847,0
