Frame,Visibility,X,Y
0,1,1366,363
1,1,1369,352
2,1,1368,342
3,1,1369,333
4,1,1374,327
5,1,1374,324
6,1,1374,316
7,1,1375,315
8,1,1375,310
9,1,1378,306
10,1,1378,306
11,1,1381,306
12,1,1384,306
13,1,1389,309
14,1,1393,312
15,1,1398,313
16,1,1402,318
17,1,1405,324
18,1,1414,331
19,1,1417,336
20,1,1426,343
21,1,1428,348
22,1,1404,346
23,1,1381,339
24,1,1353,330
25,1,1330,324
26,1,1302,318
27,1,1281,313
28,1,1258,306
29,1,1230,303
30,1,1207,298
31,1,1177,297
32,1,1161,294
33,1,1143,294
34,1,1123,294
35,1,1101,294
36,1,1084,292
37,1,1060,292
38,1,1045,294
39,1,1021,300
40,1,997,309
41,1,984,309
42,1,958,318
43,1,939,330
44,1,913,336
45,1,891,346
46,1,868,360
47,1,838,370
48,1,817,378
49,1,787,397
50,1,765,406
51,1,741,424
52,1,715,432
53,1,691,451
54,1,676,454
55,1,694,438
56,1,711,420
57,1,730,399
58,1,750,387
59,1,766,369
60,1,783,354
61,1,799,340
62,1,814,330
63,1,829,318
64,1,843,306
65,1,856,297
66,1,865,288
67,1,876,277
68,1,886,273
69,1,904,267
70,1,915,264
71,1,925,259
72,1,937,262
73,1,945,261
74,1,958,258
75,1,972,259
76,1,985,265
77,1,994,267
78,1,1009,273
79,1,1021,274
80,1,1030,292
81,1,1041,298
82,1,1053,312
83,1,1063,324
84,1,1075,330
85,1,1084,346
86,1,1093,360
87,1,1102,379
88,1,1108,388
89,1,1114,411
90,1,1123,429
91,1,1129,454
92,1,1137,472
93,1,1144,495
94,1,1149,517
95,1,1150,522
96,1,1155,510
97,1,1159,489
98,1,1159,471
99,1,1164,451
100,1,1165,439
101,1,1168,426
102,1,1173,411
103,1,1171,396
104,1,1177,385
105,1,1177,379
106,1,1180,370
107,1,1183,363
108,1,1192,360
109,1,1198,360
110,1,1210,364
111,1,1222,366
112,1,1237,372
113,1,1225,370
114,1,1216,375
115,1,1201,379
116,1,1191,378
117,1,1177,381
118,1,1164,387
119,1,1150,396
120,1,1140,408
121,1,1125,412
122,1,1111,429
123,1,1104,438
124,1,1090,450
125,1,1083,468
126,1,1075,486
127,1,1072,501
128,1,1068,511
129,1,1066,534
130,1,1057,501
131,1,1045,472
132,1,1042,433
133,1,1036,403
134,1,1024,375
135,1,1015,340
136,1,1011,313
137,1,1000,280
138,1,990,255
139,1,982,226
140,1,970,201
141,1,966,174
142,1,955,150
143,1,945,127
144,1,937,108
145,1,924,87
146,1,915,67
147,1,909,51
148,1,901,36
149,1,898,18
150,1,895,9
151,1,889,3
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,1,919,3
164,1,927,4
165,1,934,12
166,1,946,21
167,1,949,34
168,1,961,48
169,1,963,58
170,1,967,79
171,1,970,96
172,1,975,115
173,1,979,135
174,1,979,153
175,1,976,177
176,1,981,204
177,1,979,225
178,1,973,253
179,1,972,282
180,1,964,304
181,1,952,336
182,1,943,360
183,1,939,390
184,1,931,427
185,1,925,450
186,1,918,486
187,1,910,513
188,1,898,546
189,1,892,579
190,1,886,595
191,1,895,555
192,1,901,522
193,1,906,481
194,1,909,450
195,1,916,417
196,1,921,391
197,1,922,358
198,1,922,333
199,1,925,306
200,1,924,283
201,1,928,256
202,1,925,229
203,1,922,216
204,1,922,199
205,1,922,181
206,1,924,160
207,1,924,153
208,1,924,135
209,1,924,123
210,1,924,117
211,1,924,111
212,1,924,100
213,1,924,100
214,1,922,93
215,1,919,91
216,1,918,88
217,1,915,88
218,1,912,91
219,1,910,93
220,1,906,96
221,1,901,99
222,1,895,105
223,1,889,108
224,1,885,117
225,1,880,126
226,1,874,138
227,1,868,147
228,1,859,154
229,1,858,166
230,1,853,183
231,1,847,201
232,1,840,213
233,1,841,228
234,1,835,237
235,1,829,255
236,1,825,280
237,1,822,297
238,1,814,315
239,1,808,333
240,1,843,340
241,1,888,346
242,1,928,354
243,1,975,361
244,1,1009,372
245,1,1048,379
246,1,1036,381
247,1,1021,391
248,1,1002,405
249,1,985,417
250,1,970,429
251,1,952,447
252,1,937,465
253,1,924,484
254,1,913,499
255,1,900,519
256,1,898,543
257,1,898,568
258,1,898,586
259,1,898,615
260,1,897,621
261,1,888,609
262,1,879,591
263,1,867,574
264,1,855,553
265,1,847,541
266,1,832,525
267,1,820,514
268,1,811,501
269,1,795,487
